flops,batch_size,precision,precision_enc,param_count,cpu_latency_s,gpu_latency_s,npu_latency_s,cpu_energy_j,gpu_energy_j,npu_energy_j,best_accelerator
136299073.1943375,2.0,INT8,0.25,444989.21872284455,0.0006551249894747,0.0048595121132957,0.000337365414981,0.0298844556579613,0.946568486773722,0.0026073356726096,NPU
261873959611.79,32.0,FP16,0.5,748039135.0031521,1.854826254344452,0.0065206467811371,0.2288756501868626,81.93005683007111,1.2231486536439675,1.913123636857723,GPU
14846070471.610285,16.0,FP32,1.0,28742819.42139872,0.2149039666026935,0.0050951566327395,0.0225168405067818,9.090731045124404,1.0774530411678098,0.1840792827797047,NPU
2580695379.659473,256.0,FP16,0.5,6747535.622301016,0.0117407477271813,0.0047539534625472,0.0009916153138614,0.5111032143960943,0.972381335479812,0.0083391794648441,NPU
7747213.989694438,16.0,FP32,1.0,21391.676572760665,0.0001009740941258,0.0043207860096367,0.0003235088458003,0.0048438180086523,0.9246540698498892,0.002407188947375,NPU
7744762.285330769,2.0,INT8,0.25,10869.536772446176,3.436741339954905e-05,0.0048065240104426,0.0003059938052375,0.0014431493088656,0.9513385229335092,0.002219013111809,CPU
2142973.316927136,16.0,INT8,0.25,4109.251359977344,7.2510492681121956e-06,0.0047503961382978,0.0003190803582195,0.0003531264744178,0.9480975644353342,0.0026932572033941,CPU
86359848789.77446,8.0,FP32,1.0,350737043.1252972,1.2354274063741804,0.0065603838768879,0.2282282440490575,56.472230196062114,1.2017302505134158,1.9196435421947555,GPU
2665240604.681078,64.0,INT8,0.25,12316202.307211958,0.0078433753233247,0.0051831544691565,0.0004733969503138,0.3424197185889472,1.00428570982207,0.0038272320751019,NPU
10846369160.891266,32.0,FP16,0.5,22984252.60269817,0.0532172772431824,0.0047383696845237,0.0026438593389562,2.155053906299647,0.9557527934747554,0.0215942241702824,NPU
1310118.0060230289,2.0,FP32,1.0,2464.823617235593,2.5934253553685903e-05,0.0051494388939587,0.0002936850866861,0.0010578830328359,1.0498264493139886,0.0024511002145448,CPU
336889251039.9306,16.0,FP32,1.0,464363845.1197934,4.736071474298312,0.0089802679440454,1.6768177099521269,209.33086027427487,1.9598480610437603,13.536294804910932,GPU
55470954667.98926,64.0,FP16,0.5,197099965.19880816,0.3463105556537109,0.0052235395640526,0.019564918709943,15.21226286457842,0.9480229557945136,0.160719290112909,NPU
16222367.009171909,64.0,FP16,0.5,31697.6722390197,9.84376466288547e-05,0.0047591093043428,0.0003100558952564,0.0044557736065675,0.9627418632633292,0.0025815033972526,NPU
10869636.835487053,16.0,INT8,0.25,53748.97290266906,3.533409601127401e-05,0.0052985098358723,0.0002978525570808,0.0017267092451825,1.0397669980942452,0.002371679043902,CPU
11097286.548581092,256.0,FP16,0.5,21812.622352887764,5.65900223065768e-05,0.0050467522926561,0.0002877393209465,0.0026150015328843,1.0131609378540192,0.002262138071976,NPU
